fecha,ano,mes,dia,hospitalizados_totales,hospitalizados_totales_cdmx,hospitalizados_totales_edomex,camas_intubados_totales,camas_intubados_cdmx,camas_intubados_edomex,camas_generales_totales,camas_generales_cdmx,camas_generales_edomex
28/05/2020,2020,mayo 2020,28,6241,4420,1821,1398,1053,345,4843,3367,1476
29/05/2020,2020,mayo 2020,29,6239,4413,1826,1418,1055,363,4821,3358,1463
30/05/2020,2020,mayo 2020,30,6278,4444,1834,1447,1081,366,4831,3363,1468
31/05/2020,2020,mayo 2020,31,6355,4461,1894,1461,1065,396,4894,3396,1498
01/06/2020,2020,junio 2020,1,6312,4468,1844,1451,1086,365,4861,3382,1479
02/06/2020,2020,junio 2020,2,6382,4469,1913,1482,1087,395,4900,3382,1518
03/06/2020,2020,junio 2020,3,6362,4465,1897,1490,1095,395,4872,3370,1502
04/06/2020,2020,junio 2020,4,6370,4474,1896,1456,1064,392,4914,3410,1504
05/06/2020,2020,junio 2020,5,6423,4491,1932,1493,1097,396,4930,3394,1536
06/06/2020,2020,junio 2020,6,6442,4484,1958,1425,1045,380,5017,3439,1578
07/06/2020,2020,junio 2020,7,6330,4424,1906,1426,1048,378,4904,3376,1528
08/06/2020,2020,junio 2020,8,6320,4408,1912,1408,1041,367,4912,3367,1545
09/06/2020,2020,junio 2020,9,6373,4436,1937,1361,1017,344,5012,3419,1593
10/06/2020,2020,junio 2020,10,6352,4447,1905,1369,1017,352,4983,3430,1553
11/06/2020,2020,junio 2020,11,6333,4460,1873,1365,1027,338,4968,3433,1535
12/06/2020,2020,junio 2020,12,6323,4456,1867,1366,1020,346,4957,3436,1521
13/06/2020,2020,junio 2020,13,6182,4374,1808,1383,1033,350,4799,3341,1458
14/06/2020,2020,junio 2020,14,6130,4331,1799,1347,1006,341,4783,3325,1458
15/06/2020,2020,junio 2020,15,6057,4279,1778,1329,998,331,4728,3281,1447
16/06/2020,2020,junio 2020,16,6064,4360,1704,1345,1011,334,4719,3349,1370
17/06/2020,2020,junio 2020,17,5985,4303,1682,1329,1015,314,4656,3288,1368
18/06/2020,2020,junio 2020,18,5890,4213,1677,1284,969,315,4606,3244,1362
19/06/2020,2020,junio 2020,19,5818,4142,1676,1265,952,313,4553,3190,1363
20/06/2020,2020,junio 2020,20,5750,4080,1670,1274,958,316,4476,3122,1354
21/06/2020,2020,junio 2020,21,5714,4074,1640,1291,974,317,4423,3100,1323
22/06/2020,2020,junio 2020,22,5566,3945,1621,1270,964,306,4296,2981,1315
23/06/2020,2020,junio 2020,23,5600,4008,1592,1244,936,308,4356,3072,1284
24/06/2020,2020,junio 2020,24,5480,3910,1570,1214,913,301,4266,2997,1269
25/06/2020,2020,junio 2020,25,5488,3908,1580,1227,935,292,4261,2973,1288
26/06/2020,2020,junio 2020,26,5416,3845,1571,1234,927,307,4182,2918,1264
27/06/2020,2020,junio 2020,27,5333,3806,1527,1254,941,313,4079,2865,1214
28/06/2020,2020,junio 2020,28,5282,3780,1502,1270,958,312,4012,2822,1190
29/06/2020,2020,junio 2020,29,5277,3793,1484,1261,949,312,4016,2844,1172
30/06/2020,2020,junio 2020,30,5288,3822,1466,1236,932,304,4052,2890,1162
01/07/2020,2020,julio 2020,1,5213,3750,1463,1219,920,299,3994,2830,1164
02/07/2020,2020,julio 2020,2,5120,3676,1444,1193,901,292,3927,2775,1152
03/07/2020,2020,julio 2020,3,5095,3666,1429,1195,897,298,3900,2769,1131
04/07/2020,2020,julio 2020,4,5010,3592,1418,1203,878,325,3807,2714,1093
05/07/2020,2020,julio 2020,5,5012,3602,1410,1213,884,329,3799,2718,1081
06/07/2020,2020,julio 2020,6,5027,3623,1404,1212,892,320,3815,2731,1084
07/07/2020,2020,julio 2020,7,4982,3609,1373,1196,885,311,3786,2724,1062
08/07/2020,2020,julio 2020,8,4906,3569,1337,1163,868,295,3743,2701,1042
09/07/2020,2020,julio 2020,9,4823,3489,1334,1146,844,302,3677,2645,1032
10/07/2020,2020,julio 2020,10,4797,3459,1338,1149,842,307,3648,2617,1031
11/07/2020,2020,julio 2020,11,4780,3462,1318,1191,865,326,3589,2597,992
12/07/2020,2020,julio 2020,12,4755,3431,1324,1160,843,317,3595,2588,1007
13/07/2020,2020,julio 2020,13,4717,3388,1329,1148,831,317,3569,2557,1012
14/07/2020,2020,julio 2020,14,4803,3456,1347,1123,816,307,3680,2640,1040
15/07/2020,2020,julio 2020,15,4757,3418,1339,1112,809,303,3645,2609,1036
16/07/2020,2020,julio 2020,16,4700,3385,1315,1101,813,288,3599,2572,1027
17/07/2020,2020,julio 2020,17,4648,3364,1284,1108,813,295,3540,2551,989
18/07/2020,2020,julio 2020,18,4538,3295,1243,1087,798,289,3451,2497,954
19/07/2020,2020,julio 2020,19,4591,3350,1241,1103,804,299,3488,2546,942
20/07/2020,2020,julio 2020,20,4610,3388,1222,1094,801,293,3516,2587,929
21/07/2020,2020,julio 2020,21,4645,3401,1244,1096,809,287,3549,2592,957
22/07/2020,2020,julio 2020,22,4708,3425,1283,1068,787,281,3640,2638,1002
23/07/2020,2020,julio 2020,23,4715,3448,1267,1068,774,294,3647,2674,973
24/07/2020,2020,julio 2020,24,4639,3419,1220,1054,786,268,3585,2633,952
25/07/2020,2020,julio 2020,25,4635,3415,1220,1084,803,281,3551,2612,939
26/07/2020,2020,julio 2020,26,4647,3423,1224,1106,822,284,3541,2601,940
27/07/2020,2020,julio 2020,27,4648,3447,1201,1093,813,280,3555,2634,921
28/07/2020,2020,julio 2020,28,4682,3470,1212,1108,830,278,3574,2640,934
29/07/2020,2020,julio 2020,29,4699,3493,1206,1121,836,285,3578,2657,921
30/07/2020,2020,julio 2020,30,4599,3394,1205,1131,838,293,3468,2556,912
31/07/2020,2020,julio 2020,31,4513,3296,1217,1123,830,293,3390,2466,924
01/08/2020,2020,agosto 2020,1,4381,3193,1188,1114,828,286,3267,2365,902
02/08/2020,2020,agosto 2020,2,4372,3188,1184,1114,836,278,3258,2352,906
03/08/2020,2020,agosto 2020,3,4383,3220,1163,1102,832,270,3281,2388,893
04/08/2020,2020,agosto 2020,4,4410,3255,1155,1081,822,259,3329,2433,896
05/08/2020,2020,agosto 2020,5,4291,3183,1108,1076,812,264,3215,2371,844
06/08/2020,2020,agosto 2020,6,4278,3158,1120,1046,790,256,3232,2368,864
07/08/2020,2020,agosto 2020,7,4214,3123,1091,1040,786,254,3174,2337,837
08/08/2020,2020,agosto 2020,8,4102,3016,1086,1042,781,261,3060,2235,825
09/08/2020,2020,agosto 2020,9,4107,3015,1092,1050,776,274,3057,2239,818
10/08/2020,2020,agosto 2020,10,4061,2984,1077,1030,753,277,3031,2231,800
11/08/2020,2020,agosto 2020,11,4002,2912,1090,972,711,261,3030,2201,829
12/08/2020,2020,agosto 2020,12,3979,2862,1117,962,706,256,3017,2156,861
13/08/2020,2020,agosto 2020,13,3978,2832,1146,959,689,270,3019,2143,876
14/08/2020,2020,agosto 2020,14,3962,2830,1132,950,694,256,3012,2136,876
15/08/2020,2020,agosto 2020,15,3920,2811,1109,948,700,248,2972,2111,861
16/08/2020,2020,agosto 2020,16,3929,2819,1110,942,688,254,2987,2131,856
17/08/2020,2020,agosto 2020,17,3915,2816,1099,944,689,255,2971,2127,844
18/08/2020,2020,agosto 2020,18,4001,2894,1107,930,678,252,3071,2216,855
19/08/2020,2020,agosto 2020,19,4012,2891,1121,933,687,246,3079,2204,875
20/08/2020,2020,agosto 2020,20,3922,2816,1106,923,677,246,2999,2139,860
21/08/2020,2020,agosto 2020,21,3836,2774,1062,908,679,229,2928,2095,833
22/08/2020,2020,agosto 2020,22,3741,2740,1001,927,700,227,2814,2040,774
23/08/2020,2020,agosto 2020,23,3752,2731,1021,915,696,219,2837,2035,802
24/08/2020,2020,agosto 2020,24,3816,2804,1012,929,717,212,2887,2087,800
25/08/2020,2020,agosto 2020,25,3855,2858,997,904,706,198,2951,2152,799
26/08/2020,2020,agosto 2020,26,3883,2887,996,903,705,198,2980,2182,798
